"bathrooms","bedrooms","levels","livingArea","price","pricePerSquareFoot","garageSpaces","hasGarage","parking","pool","spa","homeType","isNewConstruction","yearBuilt","mild_uout","extr_uout","mout","f.price","f.yearBuilt"
2,3,"one",1719,6e+05,349,"1","1","1","0","0","SINGLE_FAMILY","0",1920,"0","0",0,"High","Historic"
3,4,"two",2171,335000,154,"2","1","1","0","0","SINGLE_FAMILY","0",1992,"0","0",0,"Medium-High","Old"
3,4,"two",3747,280000,75,"0","0","1","0","0","SINGLE_FAMILY","0",1925,"0","0",0,"Medium-Low","Old"
3,5,"two",2630,399900,152,"0","1","0","0","0","SINGLE_FAMILY","0",2016,"0","0",0,"Medium-High","New"
3,4,"two",2174,430000,198,"2","1","1","0","0","SINGLE_FAMILY","0",2015,"0","0",0,"Medium-High","New"
2,3,"one",1412,3e+05,212,"0","1","1","0","0","SINGLE_FAMILY","0",1971,"0","0",0,"Medium-Low","Old"
3,4,"one",3000,297000,99,"2","1","0","0","1","SINGLE_FAMILY","0",1954,"0","0",0,"Medium-Low","Old"
4,3,"three or more",3100,850000,274,"0","0","1","0","0","TOWNHOUSE","0",2008,"0","0",0,"High","Recent"
2,3,"one",1447,204000,141,"2","1","1","0","0","SINGLE_FAMILY","0",2003,"0","0",0,"Low","Recent"
2,2,"two",1706,525000,308,"2","1","1","0","1","CONDO","0",2002,"0","0",0,"High","Recent"
2,3,"one",1900,112000,59,"0","1","1","0","0","SINGLE_FAMILY","0",1920,"0","0",0,"Low","Historic"
3,4,"three or more",1600,220000,138,"2","1","1","0","0","SINGLE_FAMILY","0",2021,"0","0",0,"Low","New"
3,4,"two",1811,201990,112,"0","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",0,"Low","New"
3,4,"two",2990,435000,145,"0","1","1","0","1","SINGLE_FAMILY","0",1996,"0","0",0,"Medium-High","Recent"
4,5,"two",3363,385999,115,"2","1","1","0","1","SINGLE_FAMILY","0",2005,"0","0",0,"Medium-High","Recent"
3,3,"one",1987,395000,199,"0","0","1","0","0","SINGLE_FAMILY","0",1957,"0","0",0,"Medium-High","Old"
3,4,"two",2886,159900,55,"0","1","0","0","0","SINGLE_FAMILY","0",1971,"0","0",0,"Low","Old"
2,3,"one",1644,279000,170,"1","1","1","0","1","SINGLE_FAMILY","0",1994,"0","0",0,"Medium-Low","Old"
2,3,"one",1257,184900,147,"0","0","1","0","0","SINGLE_FAMILY","0",1978,"0","0",0,"Low","Old"
3,3,"one",2640,385000,146,"2","1","1","0","1","SINGLE_FAMILY","0",1996,"0","0",0,"Medium-High","Recent"
4,4,"two",4301,375000,87,"2","1","1","0","1","SINGLE_FAMILY","0",1999,"0","0",0,"Medium-High","Recent"
2,2,"one",1503,244900,163,"0","0","1","0","0","SINGLE_FAMILY","0",1997,"0","0",0,"Medium-Low","Recent"
3,4,"three or more",2365,390000,165,"2","1","1","0","0","SINGLE_FAMILY","0",2003,"0","0",0,"Medium-High","Recent"
2,3,"one",1512,549000,363,"0","0","0","0","0","SINGLE_FAMILY","0",2004,"0","0",0,"High","Recent"
2,3,"one",1196,190000,159,"1","1","1","0","0","SINGLE_FAMILY","0",1986,"0","0",0,"Low","Old"
2,3,"one",1230,210000,171,"0","0","1","0","0","SINGLE_FAMILY","0",1994,"0","0",0,"Low","Old"
2,4,"one",1740,189900,109,"0","0","1","0","0","SINGLE_FAMILY","0",1981,"0","0",0,"Low","Old"
3,4,"two",2266,310000,137,"2","1","1","1","0","SINGLE_FAMILY","0",1972,"0","0",0,"Medium-Low","Old"
2,3,"three or more",1896,299900,158,"2","1","1","0","0","SINGLE_FAMILY","0",1984,"0","0",0,"Medium-Low","Old"
3,4,"two",2672,3e+05,112,"2","1","1","0","0","SINGLE_FAMILY","0",1987,"0","0",0,"Medium-Low","Old"
2,2,"one",1808,190000,105,"0","0","1","0","0","SINGLE_FAMILY","0",1938,"0","0",0,"Low","Old"
4,5,"two",5874,675000,115,"3 or more","1","1","0","0","SINGLE_FAMILY","0",2008,"0","0",1,"High","Recent"
4,4,"one",3724,564900,152,"2","1","1","0","0","SINGLE_FAMILY","0",1995,"0","0",0,"High","Recent"
4,5,"three or more",3000,929000,310,"0","1","0","0","0","SINGLE_FAMILY","0",1977,"0","0",0,"High","Old"
2,3,"one",1380,180000,130,"0","0","0","0","0","SINGLE_FAMILY","0",1981,"0","0",0,"Low","Old"
3,3,"one",2396,499000,208,"0","1","1","0","0","SINGLE_FAMILY","0",2005,"0","0",0,"High","Recent"
2,3,"two",1404,175000,125,"0","0","1","0","0","SINGLE_FAMILY","0",2001,"0","0",0,"Low","Recent"
3,3,"two",1971,269000,136,"2","1","1","0","0","SINGLE_FAMILY","0",2000,"0","0",0,"Medium-Low","Recent"
4,3,"two",2896,325000,112,"0","1","1","0","0","SINGLE_FAMILY","0",1981,"0","0",0,"Medium-Low","Old"
2,3,"one",1934,350000,181,"0","1","1","0","0","SINGLE_FAMILY","0",2017,"0","0",0,"Medium-High","New"
4,5,"two",3230,652910,202,"2","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",0,"High","New"
2,3,"one",1864,350000,188,"1","1","1","0","0","SINGLE_FAMILY","0",1976,"0","0",0,"Medium-High","Old"
3,4,"one",2398,279500,117,"0","1","1","0","0","SINGLE_FAMILY","0",1956,"0","0",0,"Medium-Low","Old"
3,4,"one",3294,340000,103,"0","0","0","0","0","SINGLE_FAMILY","0",1980,"0","0",0,"Medium-High","Old"
3,3,"one",2137,335000,157,"2","1","1","0","0","SINGLE_FAMILY","0",2011,"0","0",0,"Medium-High","Recent"
2,2,"two",1044,199000,191,"1","1","1","0","0","TOWNHOUSE","0",2001,"0","0",0,"Low","Recent"
3,3,"two",1412,215000,152,"2","1","1","0","0","SINGLE_FAMILY","0",1988,"0","0",0,"Low","Old"
3,4,"three or more",2344,475000,203,"0","1","1","0","0","SINGLE_FAMILY","0",1968,"0","0",0,"Medium-High","Old"
2,3,"two",2095,4e+05,191,"0","0","1","0","0","SINGLE_FAMILY","0",1965,"0","0",0,"Medium-High","Old"
1,2,"one",1167,155000,133,"0","0","1","0","0","SINGLE_FAMILY","0",1946,"0","0",0,"Low","Old"
4,3,"three or more",2796,799999,286,"2","1","1","0","0","SINGLE_FAMILY","0",2017,"0","0",0,"High","New"
3,4,"one",1050,297900,284,"1","1","1","0","0","SINGLE_FAMILY","0",1978,"0","0",0,"Medium-Low","Old"
4,4,"one",4158,394900,95,"0","0","1","0","0","SINGLE_FAMILY","0",1976,"0","0",0,"Medium-High","Old"
3,4,"three or more",2100,450000,214,"0","1","1","0","0","SINGLE_FAMILY","0",1970,"0","0",0,"Medium-High","Old"
2,2,"one",1672,149000,89,"0","0","1","0","0","SINGLE_FAMILY","0",1977,"0","0",0,"Low","Old"
3,3,"two",2024,350000,173,"2","1","1","0","0","SINGLE_FAMILY","0",1978,"0","0",0,"Medium-High","Old"
6,6,"two",3705,989900,267,"2","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",1,"High","New"
3,4,"two",2648,380000,144,"2","1","1","0","0","SINGLE_FAMILY","0",2016,"0","0",0,"Medium-High","New"
2,4,"one",2001,350000,175,"2","1","1","0","1","SINGLE_FAMILY","0",1997,"0","0",0,"Medium-High","Recent"
1,3,"one",1055,72000,68,"0","0","0","0","0","SINGLE_FAMILY","0",1954,"0","0",0,"Low","Old"
3,5,"two",3159,410000,130,"2","1","1","0","1","SINGLE_FAMILY","0",1999,"0","0",0,"Medium-High","Recent"
3,4,"two",3289,6e+05,182,"2","1","1","0","0","SINGLE_FAMILY","0",1987,"0","0",0,"High","Old"
2,3,"one",2054,259900,127,"0","0","1","0","0","SINGLE_FAMILY","0",1959,"0","0",0,"Medium-Low","Old"
4,3,"one",3077,760800,247,"2","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",0,"High","New"
2,3,"one",2386,365000,153,"0","1","1","0","0","SINGLE_FAMILY","0",1965,"0","0",0,"Medium-High","Old"
2,3,"one",1479,349900,237,"2","1","1","0","1","SINGLE_FAMILY","0",1998,"0","0",0,"Medium-High","Recent"
2,3,"one",1141,220000,193,"2","1","1","0","0","SINGLE_FAMILY","0",2002,"0","0",0,"Low","Recent"
2,3,"two",1900,259000,136,"2","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",0,"Medium-Low","New"
3,3,"two",1600,275000,172,"2","1","1","0","0","SINGLE_FAMILY","0",1995,"0","0",0,"Medium-Low","Recent"
2,3,"one",1456,239900,165,"0","0","1","1","0","SINGLE_FAMILY","0",1940,"0","0",0,"Medium-Low","Old"
4,5,"three or more",4890,615000,126,"2","1","1","0","0","SINGLE_FAMILY","0",1999,"0","0",0,"High","Recent"
1,2,"one",1035,187900,182,"0","0","1","0","0","SINGLE_FAMILY","0",1959,"0","0",0,"Low","Old"
3,4,"two",3332,135900,41,"0","0","1","0","0","SINGLE_FAMILY","0",1935,"0","0",0,"Low","Old"
3,3,"two",1994,289000,145,"2","1","1","0","0","TOWNHOUSE","0",2015,"0","0",0,"Medium-Low","New"
2,3,"one",1300,180000,138,"0","0","1","0","0","SINGLE_FAMILY","0",1960,"0","0",0,"Low","Old"
2,3,"one",1503,219900,146,"0","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",0,"Low","New"
3,3,"three or more",1522,375000,246,"3 or more","1","1","0","0","CONDO","0",1925,"0","0",0,"Medium-High","Old"
